name,price,review_count,rating,rounded_rating,content_rating,genres,platform,rating-2,rounded_rating-2,review_count-2,price-2,content_rating-2,genres-2,platform-2,Expected_app_life,purchase_price,net_income_lifespan
Geometry Dash Meltdown,$0.00 ,117470,4.5,4.5,4+,Games,IOS,4.6,4.5,1591129,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Geometry Dash World,$0.00 ,5114,4.5,4.5,4+,Games,IOS,4.6,4.5,760628,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Hungry Shark Evolution,$0.00 ,83784,4.5,4.5,12+,Games,IOS,4.5,4.5,6074334,$0.00 ,Teen,Arcade,GOOGLE,10,10000,"$470,000.00 "
Jetpack Joyride,$0.00 ,405647,4.5,4.5,9+,Games,IOS,4.4,4.5,4638163,$0.00 ,Everyone 10+,Arcade,GOOGLE,10,10000,"$470,000.00 "
Nyan Cat: Lost In Space,$0.00 ,76392,4.5,4.5,4+,Games,IOS,4.5,4.5,371318,$0.00 ,Everyone 10+,Arcade,GOOGLE,10,10000,"$470,000.00 "
Pineapple Pen,$0.00 ,6430,4.5,4.5,4+,Games,IOS,4.3,4.5,157264,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Smash Hit,$0.00 ,126233,4.5,4.5,4+,Games,IOS,4.5,4.5,4147718,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Sonic Dash,$0.00 ,418033,4.5,4.5,4+,Games,IOS,4.5,4.5,3778921,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Subway Surfers,$0.00 ,706110,4.5,4.5,9+,Games,IOS,4.5,4.5,27722264,$0.00 ,Everyone 10+,Arcade,GOOGLE,10,10000,"$470,000.00 "
Super Jabber Jump,$0.00 ,612,4.5,4.5,4+,Games,IOS,4.3,4.5,85882,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Temple Run,$0.00 ,1724546,4.5,4.5,9+,Games,IOS,4.3,4.5,4000433,$0.00 ,Everyone,Arcade,GOOGLE,10,10000,"$470,000.00 "
Zombie Tsunami,$0.00 ,31311,4.5,4.5,4+,Games,IOS,4.4,4.5,4920817,$0.00 ,Everyone 10+,Arcade,GOOGLE,10,10000,"$470,000.00 "
Fernanfloo,$0.00 ,2886,4.5,4.5,9+,Games,IOS,4.8,5,526595,$0.00 ,Everyone 10+,Arcade,GOOGLE,10.5,10000,"$494,000.00 "
Geometry Dash Lite,$0.00 ,370370,5,5,4+,Games,IOS,4.5,4.5,6181640,$0.00 ,Everyone,Arcade,GOOGLE,10.5,10000,"$494,000.00 "
Shopkins World!,$0.00 ,3047,4,4,4+,Games,IOS,4.3,4.5,169609,$0.00 ,Everyone,Arcade;Action & Adventure,GOOGLE,9.5,10000,"$446,000.00 "
Disney Crossy Road,$0.00 ,38571,4.5,4.5,4+,Games,IOS,4.5,4.5,514088,$0.00 ,Everyone,Arcade;Action & Adventure,GOOGLE,10,10000,"$470,000.00 "
Infinite Painter,$0.00 ,65,4,4,4+,Productivity,IOS,4.1,4,36815,$0.00 ,Everyone,Art & Design,GOOGLE,9,10000,"$422,000.00 "
Rolling Sky,$0.00 ,30670,4.5,4.5,4+,Games,IOS,4.5,4.5,1117212,$0.00 ,Everyone,Board,GOOGLE,10,10000,"$470,000.00 "
RISK: Global Domination,$0.00 ,5217,4,4,9+,Games,IOS,4,4,68559,$0.00 ,Everyone,Board;Action & Adventure,GOOGLE,9,10000,"$422,000.00 "
Bible,$0.00 ,985920,4.5,4.5,4+,Reference,IOS,4.7,4.5,2440695,$0.00 ,Teen,Books & Reference,GOOGLE,10,10000,"$470,000.00 "
AirWatch Agent,$0.00 ,1150,2.5,2.5,4+,Business,IOS,3.1,3,20973,$0.00 ,Everyone,Business,GOOGLE,6.5,10000,"$302,000.00 "
Uber Driver,$0.00 ,3289,3,3,4+,Business,IOS,4.4,4.5,1254730,$0.00 ,Everyone,Business,GOOGLE,8.5,10000,"$398,000.00 "
ADP Mobile Solutions,$0.00 ,8324,4,4,4+,Business,IOS,4.3,4.5,85185,$0.00 ,Everyone,Business,GOOGLE,9.5,10000,"$446,000.00 "
Indeed Job Search,$0.00 ,38681,4,4,4+,Business,IOS,4.3,4.5,674730,$0.00 ,Everyone,Business,GOOGLE,9.5,10000,"$446,000.00 "
Peggle Blast,$0.00 ,11528,4,4,9+,Games,IOS,4.1,4,166251,$0.00 ,Everyone,Card,GOOGLE,9,10000,"$422,000.00 "
UNO ™ & Friends,$0.00 ,68911,4,4,9+,Games,IOS,4.1,4,1728557,$0.00 ,Everyone,Card,GOOGLE,9,10000,"$422,000.00 "
Deck Heroes: Legacy,$0.00 ,494,4,4,17+,Games,IOS,4.7,4.5,466495,$0.00 ,Teen,Card,GOOGLE,9.5,10000,"$446,000.00 "
Solitaire,$0.00 ,679055,4.5,4.5,4+,Games,IOS,4.7,4.5,254258,$0.00 ,Everyone,Card,GOOGLE,10,10000,"$470,000.00 "
Dumb Ways to Die 2: The Games,$0.00 ,11295,4,4,12+,Games,IOS,4.2,4,1671658,$0.00 ,Teen,Casual,GOOGLE,9,10000,"$422,000.00 "
Angry Birds 2,$0.00 ,109104,4,4,4+,Games,IOS,4.6,4.5,3883589,$0.00 ,Everyone,Casual,GOOGLE,9.5,10000,"$446,000.00 "
My Emma :),$0.00 ,8412,4.5,4.5,4+,Games,IOS,4.1,4,245839,$0.00 ,Everyone,Casual,GOOGLE,9.5,10000,"$446,000.00 "
The Simpsons™: Tapped Out,$0.00 ,274501,4,4,12+,Games,IOS,4.3,4.5,636995,$0.00 ,Teen,Casual,GOOGLE,9.5,10000,"$446,000.00 "
Bejeweled Classic,$0.00 ,183259,4.5,4.5,4+,Games,IOS,4.4,4.5,203101,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
Candy Crush Saga,$0.00 ,961794,4.5,4.5,4+,Games,IOS,4.4,4.5,22426677,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
Candy Crush Soda Saga,$0.00 ,133394,4.5,4.5,4+,Games,IOS,4.4,4.5,6198563,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
Farm Heroes Saga,$0.00 ,187579,4.5,4.5,4+,Games,IOS,4.4,4.5,7614130,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
Hay Day,$0.00 ,567344,4.5,4.5,4+,Games,IOS,4.5,4.5,10053186,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
My Horse,$0.00 ,293857,4.5,4.5,4+,Games,IOS,4.5,4.5,1333338,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
My Talking Angela,$0.00 ,54549,4.5,4.5,4+,Games,IOS,4.5,4.5,9881829,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
My Talking Tom,$0.00 ,123859,4.5,4.5,4+,Games,IOS,4.5,4.5,14891223,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
Plants vs. Zombies™ 2,$0.00 ,267394,4.5,4.5,9+,Games,IOS,4.4,4.5,567632,$0.00 ,Everyone 10+,Casual,GOOGLE,10,10000,"$470,000.00 "
Pou,$0.00 ,3783,4.5,4.5,4+,Games,IOS,4.3,4.5,10485308,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
Talking Tom Bubble Shooter,$0.00 ,2659,4.5,4.5,4+,Games,IOS,4.4,4.5,687136,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
Township,$0.00 ,80801,4.5,4.5,4+,Games,IOS,4.6,4.5,4451317,$0.00 ,Everyone,Casual,GOOGLE,10,10000,"$470,000.00 "
PewDiePie's Tuber Simulator,$0.00 ,90851,5,5,9+,Games,IOS,4.8,5,1499466,$0.00 ,Teen,Casual,GOOGLE,11,10000,"$518,000.00 "
Thomas & Friends: Race On!,$0.00 ,89,3,3,4+,Games,IOS,4.1,4,29319,$0.00 ,Everyone,Casual;Action & Adventure,GOOGLE,8,10000,"$374,000.00 "
My Little Pony: Harmony Quest,$0.00 ,2265,4,4,4+,Entertainment,IOS,4.1,4,148295,$0.00 ,Everyone,Casual;Action & Adventure,GOOGLE,9,10000,"$422,000.00 "
Plants vs. Zombies™ Heroes,$0.00 ,16305,4.5,4.5,9+,Games,IOS,4.4,4.5,379415,$0.00 ,Everyone,Casual;Action & Adventure,GOOGLE,10,10000,"$470,000.00 "
Animal Jam - Play Wild!,$0.00 ,26990,4.5,4.5,9+,Games,IOS,4.6,4.5,361970,$0.00 ,Everyone,Casual;Pretend Play,GOOGLE,10,10000,"$470,000.00 "
Hangouts,$0.00 ,36404,4,4,4+,Social Networking,IOS,4,4,3419249,$0.00 ,Everyone,Communication,GOOGLE,9,10000,"$422,000.00 "
WEB.DE Mail,$0.00 ,168,4,4,4+,Productivity,IOS,4.3,4.5,226541,$0.00 ,Everyone,Communication,GOOGLE,9.5,10000,"$446,000.00 "
Kik,$0.00 ,260965,4,4,12+,Social Networking,IOS,4.3,4.5,2451136,$0.00 ,Teen,Communication,GOOGLE,9.5,10000,"$446,000.00 "
WeChat,$0.00 ,34584,4.5,4.5,12+,Social Networking,IOS,4.2,4,5387333,$0.00 ,Everyone,Communication,GOOGLE,9.5,10000,"$446,000.00 "
Firefox Focus: The privacy browser,$0.00 ,477,4,4,17+,Utilities,IOS,4.4,4.5,36880,$0.00 ,Everyone,Communication,GOOGLE,9.5,10000,"$446,000.00 "
Puffin Web Browser,$0.00 ,11677,4,4,17+,Utilities,IOS,4.3,4.5,541389,$0.00 ,Everyone,Communication,GOOGLE,9.5,10000,"$446,000.00 "
GMX Mail,$0.00 ,102,4.5,4.5,4+,Productivity,IOS,4.3,4.5,258556,$0.00 ,Everyone,Communication,GOOGLE,10,10000,"$470,000.00 "
