name,price,review_count,rating,rounded_rating,content_rating,primary_genre,platform,rating-2,rounded_rating,review_count-2,price-2,content_rating-2,genre,platform-2,app_life,net_income
Cooking Fever,$0.00 ,107797,4.5,4.5,4+,Games,ios,4.5,4.5,3197865,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
Design Home,$0.00 ,23298,4.5,4.5,4+,Games,ios,4.4,4.5,539931,$0.00 ,Everyone,Simulation,google,10," $470,000.00 "
Discord - Chat for Gamers,$0.00 ,9152,4.5,4.5,4+,Social Networking,ios,4.5,4.5,305347,$0.00 ,Teen,Communication,google,10," $470,000.00 "
Disney Crossy Road,$0.00 ,38571,4.5,4.5,4+,Games,ios,4.5,4.5,514088,$0.00 ,Everyone,Arcade;Action & Adventure,google,10," $470,000.00 "
Doodle Jump,$0.99 ,395261,4.5,4.5,4+,Games,ios,4.3,4.5,1083571,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
Dr. Panda & Toto's Treehouse,$3.99 ,455,4.5,,4+,Entertainment,ios,4.4,,3396,$3.99 ,Everyone,Casual;Pretend Play,google,,
Dragon Hills,$1.99 ,5508,4.5,,9+,Games,ios,4.5,,354373,$0.00 ,Everyone 10+,Action,google,,
DRAGON QUEST,$2.99 ,419,4.5,,9+,Games,ios,4.2,,9659,$2.99 ,Everyone,Role Playing,google,,
Dubsmash,$0.00 ,20243,4.5,4.5,12+,Entertainment,ios,4.2,4,1971777,$0.00 ,Teen,Video Players & Editors,google,9.5," $446,000.00 "
Dude Perfect,$0.99 ,9763,4.5,,4+,Games,ios,4.5,,97,$0.00 ,Everyone,Sports,google,," $(10,000.00)"
DoorDash - Food Delivery,$0.00 ,25947,4.5,4.5,4+,Food & Drink,ios,4.5,4.5,104504,$0.00 ,Everyone,Food & Drink,google,10," $470,000.00 "
Earn to Die 2,$1.99 ,3072,4.5,,12+,Games,ios,4.6,,1327265,$0.00 ,Teen,Racing,google,,
Dude Perfect 2,$0.00 ,28361,4.5,4.5,4+,Games,ios,4.5,4.5,401425,$0.00 ,Everyone,Action,google,10," $470,000.00 "
Episode - Choose Your Story,$0.00 ,155903,4.5,4.5,12+,Games,ios,4.3,4.5,1841061,$0.00 ,Teen,Simulation,google,10," $470,000.00 "
Fallout Shelter,$0.00 ,199396,4.5,4.5,12+,Games,ios,4.6,4.5,2719142,$0.00 ,Teen,Simulation,google,10," $470,000.00 "
Farming Simulator 16,$4.99 ,2637,4.5,,4+,Games,ios,4.2,,32812,$2.99 ,Everyone,Simulation;Education,google,,
Farm Heroes Saga,$0.00 ,187579,4.5,4.5,4+,Games,ios,4.4,4.5,7614130,$0.00 ,Everyone,Casual,google,10," $470,000.00 "
FINAL FANTASY BRAVE EXVIUS,$0.00 ,28187,4.5,4.5,12+,Games,ios,4.6,4.5,745684,$0.00 ,Teen,Role Playing,google,10," $470,000.00 "
FINAL FANTASY V,$14.99 ,1808,4.5,,9+,Games,ios,4.5,,15924,$7.99 ,Teen,Role Playing,google,,
Fishdom,$0.00 ,39217,4.5,4.5,4+,Games,ios,4.6,4.5,2157930,$0.00 ,Everyone,Puzzle,google,10," $470,000.00 "
Five Nights at Freddy's,$2.99 ,27388,4.5,,12+,Games,ios,4.6,,100805,$2.99 ,Teen,Action,google,,
Five Nights at Freddy's 2,$2.99 ,18107,4.5,,12+,Games,ios,4.6,,73919,$2.99 ,Teen,Strategy,google,,
Five Nights at Freddy's 3,$2.99 ,9876,4.5,,12+,Games,ios,4.7,,27856,$2.99 ,Teen,Action,google,,
Flow Free,$0.00 ,373857,4.5,4.5,4+,Games,ios,4.3,4.5,1295557,$0.00 ,Everyone,Puzzle,google,10," $470,000.00 "
Frozen Free Fall,$0.00 ,50593,4.5,4.5,4+,Games,ios,4.3,4.5,1574197,$0.00 ,Everyone,Puzzle;Action & Adventure,google,10," $470,000.00 "
Fruit Ninja Classic,$1.99 ,698516,4.5,,4+,Games,ios,4.3,,85468,$0.99 ,Everyone,Arcade,google,,
Fruit Ninja®,$0.00 ,327025,4.5,4.5,4+,Games,ios,4.3,4.5,5091448,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
F-Sim Space Shuttle,$4.99 ,6403,4.5,,4+,Games,ios,4.4,,5427,$4.99 ,Everyone,Simulation,google,,
Fuel Rewards® program,$0.00 ,2249,4.5,4.5,4+,Shopping,ios,4.6,4.5,32433,$0.00 ,Everyone,Lifestyle,google,10," $470,000.00 "
Gear.Club - True Racing,$0.00 ,2793,4.5,4.5,4+,Games,ios,4.4,4.5,140658,$0.00 ,Everyone,Racing,google,10," $470,000.00 "
Geometry Dash Meltdown,$0.00 ,117470,4.5,4.5,4+,Games,ios,4.6,4.5,1591129,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
Geometry Dash World,$0.00 ,5114,4.5,4.5,4+,Games,ios,4.6,4.5,760628,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
GMX Mail,$0.00 ,102,4.5,4.5,4+,Productivity,ios,4.3,4.5,258556,$0.00 ,Everyone,Communication,google,10," $470,000.00 "
Google Docs,$0.00 ,64259,4.5,4.5,4+,Productivity,ios,4.3,4.5,815981,$0.00 ,Everyone,Productivity,google,10," $470,000.00 "
Google Sheets,$0.00 ,24602,4.5,4.5,4+,Productivity,ios,4.3,4.5,496399,$0.00 ,Everyone,Productivity,google,10," $470,000.00 "
GroupMe,$0.00 ,28260,4.5,4.5,4+,Social Networking,ios,4.5,4.5,330761,$0.00 ,Everyone,Communication,google,10," $470,000.00 "
H*nest Meditation,$1.99 ,55,4.5,,17+,Entertainment,ios,4.9,,145,$1.99 ,Mature 17+,Lifestyle,google,,
Hay Day,$0.00 ,567344,4.5,4.5,4+,Games,ios,4.5,4.5,10053186,$0.00 ,Everyone,Casual,google,10," $470,000.00 "
Hill Climb Racing,$0.00 ,108183,4.5,4.5,9+,Games,ios,4.4,4.5,8923587,$0.00 ,Everyone,Racing,google,10," $470,000.00 "
Hill Climb Racing 2,$0.00 ,33854,4.5,4.5,9+,Games,ios,4.6,4.5,2750410,$0.00 ,Everyone,Racing,google,10," $470,000.00 "
Hitman GO,$4.99 ,8673,4.5,,9+,Games,ios,4.6,,84114,$0.99 ,Everyone 10+,Puzzle,google,,
Hitman Sniper,$0.99 ,8452,4.5,,17+,Games,ios,4.6,,408292,$0.99 ,Mature 17+,Action,google,," $(10,000.00)"
Hot Wheels: Race Off,$0.00 ,3141,4.5,4.5,4+,Games,ios,4.5,4.5,520609,$0.00 ,Everyone,Racing;Action & Adventure,google,10," $470,000.00 "
Hungry Shark Evolution,$0.00 ,83784,4.5,4.5,12+,Games,ios,4.5,4.5,6074334,$0.00 ,Teen,Arcade,google,10," $470,000.00 "
Hungry Shark World,$0.00 ,24057,4.5,4.5,12+,Games,ios,4.5,4.5,1242855,$0.00 ,Teen,Action,google,10," $470,000.00 "
Injustice: Gods Among Us,$0.00 ,612532,4.5,4.5,12+,Games,ios,4.4,4.5,2440877,$0.00 ,Teen,Action,google,10," $470,000.00 "
Inside Out Thought Bubbles,$0.00 ,21881,4.5,4.5,4+,Games,ios,4.4,4.5,623398,$0.00 ,Everyone,Puzzle;Brain Games,google,10," $470,000.00 "
Instagram,$0.00 ,2161558,4.5,4.5,12+,Photo & Video,ios,4.5,4.5,66577313,$0.00 ,Teen,Social,google,10," $470,000.00 "
Jetpack Joyride,$0.00 ,405647,4.5,4.5,9+,Games,ios,4.4,4.5,4638163,$0.00 ,Everyone 10+,Arcade,google,10," $470,000.00 "
Mad Skills Motocross,$0.99 ,9341,4.5,,12+,Games,ios,4,,32522,$0.00 ,Everyone,Racing,google,," $(10,000.00)"
MARVEL Contest of Champions,$0.00 ,233599,4.5,4.5,12+,Games,ios,4.3,4.5,2468063,$0.00 ,Teen,Action,google,10," $470,000.00 "
MARVEL Future Fight,$0.00 ,20906,4.5,4.5,9+,Games,ios,4.6,4.5,2354042,$0.00 ,Everyone 10+,Role Playing,google,10," $470,000.00 "
Microsoft Excel,$0.00 ,24430,4.5,4.5,4+,Productivity,ios,4.5,4.5,1079491,$0.00 ,Everyone,Productivity,google,10," $470,000.00 "
Microsoft OneNote,$0.00 ,39638,4.5,4.5,4+,Productivity,ios,4.4,4.5,480643,$0.00 ,Everyone,Productivity,google,10," $470,000.00 "
Microsoft Word,$0.00 ,47999,4.5,4.5,4+,Productivity,ios,4.5,4.5,2084126,$0.00 ,Everyone,Productivity,google,10," $470,000.00 "
MORTAL KOMBAT X,$0.00 ,114475,4.5,4.5,17+,Games,ios,4.4,4.5,3039889,$0.00 ,Mature 17+,Action,google,10," $470,000.00 "
"Muscle Premium - Human Anatomy, Kinesiology, Bones",$19.99 ,406,4.5,,12+,Medical,ios,4.2,,168,$24.99 ,Everyone,Medical,google,,
My Emma :),$0.00 ,8412,4.5,4.5,4+,Games,ios,4.1,4,245839,$0.00 ,Everyone,Casual,google,9.5," $446,000.00 "
My Horse,$0.00 ,293857,4.5,4.5,4+,Games,ios,4.5,4.5,1333338,$0.00 ,Everyone,Casual,google,10," $470,000.00 "
My Movies Pro - Movie & TV Collection Library,$7.99 ,1309,4.5,,12+,Catalogs,ios,4.6,,6477,$7.99 ,Everyone,Lifestyle,google,,
My Talking Angela,$0.00 ,54549,4.5,4.5,4+,Games,ios,4.5,4.5,9881829,$0.00 ,Everyone,Casual,google,10," $470,000.00 "
My Talking Pet,$1.99 ,9035,4.5,,4+,Entertainment,ios,4.6,,6238,$4.99 ,Everyone,Entertainment,google,,
My Talking Tom,$0.00 ,123859,4.5,4.5,4+,Games,ios,4.5,4.5,14891223,$0.00 ,Everyone,Casual,google,10," $470,000.00 "
Narcos: Cartel Wars,$0.00 ,4490,4.5,4.5,12+,Games,ios,4.7,4.5,244797,$0.00 ,Teen,Strategy,google,10," $470,000.00 "
Need for Speed™ No Limits,$0.00 ,34998,4.5,4.5,4+,Games,ios,4.4,4.5,3344300,$0.00 ,Everyone 10+,Racing,google,10," $470,000.00 "
Nyan Cat: Lost In Space,$0.00 ,76392,4.5,4.5,4+,Games,ios,4.5,4.5,371318,$0.00 ,Everyone 10+,Arcade,google,10," $470,000.00 "
OK K.O.! Lakewood Plaza Turbo,$0.00 ,430,4.5,4.5,9+,Games,ios,4.5,4.5,76608,$0.00 ,Everyone 10+,Action;Action & Adventure,google,10," $470,000.00 "
PAC-MAN Pop,$0.00 ,1000,4.5,4.5,4+,Games,ios,4.3,4.5,24877,$0.00 ,Everyone,Puzzle;Action & Adventure,google,10," $470,000.00 "
Paprika Recipe Manager,$4.99 ,1755,4.5,,17+,Food & Drink,ios,4.1,,1268,$4.99 ,Everyone,Food & Drink,google,,
PES CLUB MANAGER,$0.00 ,3216,4.5,4.5,4+,Games,ios,4.4,4.5,783025,$0.00 ,Everyone,Sports,google,10," $470,000.00 "
Photo Editor-,$0.00 ,9095,4.5,4.5,4+,Photo & Video,ios,4.3,4.5,68070,$0.00 ,Everyone,Photography,google,10," $470,000.00 "
Photo Editor by Aviary,$0.00 ,39501,4.5,4.5,12+,Photo & Video,ios,4.4,4.5,1490732,$0.00 ,Everyone,Photography,google,10," $470,000.00 "
PicsArt Photo Studio: Collage Maker & Pic Editor,$0.00 ,29078,4.5,4.5,12+,Photo & Video,ios,4.5,4.5,7594559,$0.00 ,Teen,Photography,google,10," $470,000.00 "
Pineapple Pen,$0.00 ,6430,4.5,4.5,4+,Games,ios,4.3,4.5,157264,$0.00 ,Everyone,Arcade,google,10," $470,000.00 "
Pinterest,$0.00 ,1061624,4.5,4.5,12+,Social Networking,ios,4.6,4.5,4305441,$0.00 ,Teen,Social,google,10," $470,000.00 "
Plants vs. Zombies™ 2,$0.00 ,267394,4.5,4.5,9+,Games,ios,4.4,4.5,567632,$0.00 ,Everyone 10+,Casual,google,10," $470,000.00 "
Plants vs. Zombies™ Heroes,$0.00 ,16305,4.5,4.5,9+,Games,ios,4.4,4.5,379415,$0.00 ,Everyone,Casual;Action & Adventure,google,10," $470,000.00 "
Pocket Yoga,$2.99 ,4475,4.5,,4+,Health & Fitness,ios,4.4,,2107,$2.99 ,Everyone,Health & Fitness,google,,
Pou,$0.00 ,3783,4.5,4.5,4+,Games,ios,4.3,4.5,10485308,$0.00 ,Everyone,Casual,google,10," $470,000.00 "
Real Basketball,$0.00 ,198050,4.5,4.5,4+,Games,ios,4.5,4.5,1605267,$0.00 ,Everyone,Sports,google,10," $470,000.00 "
Real Racing 3,$0.00 ,164483,4.5,4.5,4+,Games,ios,4.5,4.5,354384,$0.00 ,Everyone,Racing;Action & Adventure,google,10," $470,000.00 "
Red Ball 4,$0.99 ,9818,4.5,,4+,Games,ios,4.4,,1432447,$0.00 ,Everyone,Arcade,google,," $(10,000.00)"
Regal Cinemas,$0.00 ,13257,4.5,4.5,4+,Entertainment,ios,4.3,4.5,32732,$0.00 ,Everyone,Entertainment,google,10," $470,000.00 "
Retro City Rampage DX,$4.99 ,68,4.5,,12+,Games,ios,4.7,,416,$2.99 ,Teen,Action,google,,
Riptide GP: Renegade,$2.99 ,412,4.5,,9+,Games,ios,4.7,,4328,$2.99 ,Everyone 10+,Racing,google,,
ROBLOX,$0.00 ,183621,4.5,4.5,12+,Games,ios,4.5,4.5,4447388,$0.00 ,Everyone 10+,Adventure;Action & Adventure,google,10," $470,000.00 "
Rolling Sky,$0.00 ,30670,4.5,4.5,4+,Games,ios,4.5,4.5,1117212,$0.00 ,Everyone,Board,google,10," $470,000.00 "
Score! Hero,$0.00 ,85395,4.5,4.5,4+,Games,ios,4.6,4.5,5418675,$0.00 ,Everyone,Sports,google,10," $470,000.00 "
Seven - 7 Minute Workout Training Challenge,$0.00 ,6808,4.5,4.5,4+,Health & Fitness,ios,4.5,4.5,75571,$0.00 ,Everyone,Health & Fitness,google,10," $470,000.00 "
Shadow Fight 2,$0.00 ,99206,4.5,4.5,12+,Games,ios,4.6,4.5,10979062,$0.00 ,Everyone 10+,Action,google,10," $470,000.00 "
